Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', -24.975, -50.0672771524683, 0.49950000000000117, 66.06363636363636, 1551058417.043945)
('P, I, D, (E), (T) --->', -22.311, -47.344638576234146, 2.6640000000000015, 64.8, 1551058417.288452)
('P, I, D, (E), (T) --->', -16.459593063354493, -40.13191235147157, 5.851406936645507, 64.3, 1551058417.517542)
('P, I, D, (E), (T) --->', -12.224335693359375, -32.29029186909516, 4.235257369995118, 63.77272727272727, 1551058417.73383)
('P, I, D, (E), (T) --->', -6.321680007934571, -22.46682594248215, 5.902655685424804, 63.518181818181816, 1551058417.936983)
('P, I, D, (E), (T) --->', -2.366852783203125, -13.6002657544442, 3.9548272247314458, 65.00909090909092, 1551058418.144715)
('P, I, D, (E), (T) --->', 2.3387335510253906, -4.461399326196709, 4.705586334228515, 66.92727272727272, 1551058418.392674)
('P, I, D, (E), (T) --->', 8.238421829223633, 6.007722166125278, 5.8996882781982425, 68.05454545454545, 1551058418.578579)
('P, I, D, (E), (T) --->', 11.145703491210938, 14.149564574273576, 2.907281661987305, 68.92727272727272, 1551058418.797935)
('P, I, D, (E), (T) --->', 13.657895713806154, 20.73267800094294, 2.512192222595216, 69.75454545454545, 1551058418.997467)
('P, I, D, (E), (T) --->', 16.969842292785646, 27.336181293257116, 3.3119465789794926, 71.91818181818182, 1551058419.190838)
('P, I, D, (E), (T) --->', 20.782457542419436, 34.45054818904799, 3.81261524963379, 74.65454545454546, 1551058419.379075)
('P, I, D, (E), (T) --->', 26.166416542053224, 43.39169063657722, 5.383958999633787, 77.95454545454545, 1551058419.551939)
('P, I, D, (E), (T) --->', 27.50690464782715, 49.20274996611576, 1.3404881057739253, 80.45454545454545, 1551058419.762878)
('P, I, D, (E), (T) --->', 29.18175704956055, 53.783132032618425, 1.6748524017333999, 81.23636363636363, 1551058419.954262)
('P, I, D, (E), (T) --->', 31.058652282714846, 57.95021829902406, 1.876895233154297, 79.91818181818182, 1551058420.210068)
('P, I, D, (E), (T) --->', 33.43320050811768, 62.40830965762971, 2.374548225402833, 73.18181818181819, 1551058420.396568)
('P, I, D, (E), (T) --->', 34.632000000000005, 65.83615482881486, 1.1987994918823262, 68.54545454545455, 1551058420.625878)
('P, I, D, (E), (T) --->', 34.84845050811768, 67.76652792252511, 0.2164505081176742, 65.01818181818182, 1551058420.782432)
('P, I, D, (E), (T) --->', 34.93038829421997, 68.81365225548254, 0.0819377861022943, 62.22727272727273, 1551058420.936521)
('P, I, D, (E), (T) --->', 34.964063793182376, 69.37088992092364, 0.03367549896240263, 58.90909090909091, 1551058421.125529)
('P, I, D, (E), (T) --->', 34.47318655014038, 69.1586315106022, -0.490877243041993, 58.27272727272727, 1551058421.304112)
('P, I, D, (E), (T) --->', 35.32966208267212, 69.90897783797323, 0.8564755325317392, 59.345454545454544, 1551058421.480697)
('P, I, D, (E), (T) --->', 36.21374872970581, 71.16823764869243, 0.8840866470336906, 58.93636363636364, 1551058421.698795)
('P, I, D, (E), (T) --->', 36.62712913513184, 72.21124795947804, 0.4133804054260253, 64.63636363636364, 1551058421.893989)
('P, I, D, (E), (T) --->', 36.09321686553955, 72.19884084527857, -0.5339122695922853, 77.86363636363636, 1551058422.137269)
('P, I, D, (E), (T) --->', 27.483432151794435, 63.582852574433716, -8.609784713745118, 74.34545454545454, 1551058422.377322)
('P, I, D, (E), (T) --->', 14.616802688598634, 46.40822897581549, -12.866629463195801, 68.93636363636364, 1551058422.543426)
('P, I, D, (E), (T) --->', 9.051430435180665, 32.25554492308841, -5.565372253417969, 65.96363636363637, 1551058422.748071)
('P, I, D, (E), (T) --->', 4.70727328491211, 20.835045746456313, -4.344157150268555, 64.81818181818181, 1551058422.887878)
('P, I, D, (E), (T) --->', 1.4216014709472657, 11.839124344175422, -3.2856718139648438, 63.60909090909091, 1551058423.153826)
('P, I, D, (E), (T) --->', -3.8295000000000003, 2.090062172087711, -5.251101470947266, 62.472727272727276, 1551058423.33583)
