Active on port: 4000
init camera on /dev/video0
green
[54, 129, 95]
red
[7, 253, 142]
('P, I, D, (E), (T) --->', -8.265245548498797, -16.640645770360067, 19.636132090656133, 93.26923076923077, 1551057577.944185)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.641319944135674, 19.636132090656133, 93.5, 1551057577.975974)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.585905520566634, 19.636132090656133, 93.42307692307692, 1551057578.008012)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.613949819238957, 19.636132090656133, 93.73076923076923, 1551057578.044004)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.572220458118274, 19.636132090656133, 93.57692307692308, 1551057578.076139)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.71867103461209, 20.065773814288946, 93.26923076923077, 1551057578.108578)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.680332576261684, 19.636132090656133, 93.65384615384616, 1551057578.144813)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.661163347086482, 19.636132090656133, 93.8076923076923, 1551057578.177271)
('P, I, D, (E), (T) --->', -8.520911728764247, -16.85149340230749, 19.636132090656133, 94.07692307692308, 1551057578.208167)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.690992249652542, 19.636132090656133, 93.42307692307692, 1551057578.244645)
('P, I, D, (E), (T) --->', -9.039055850072828, -17.384551974899097, 19.84817921853488, 94.0, 1551057578.276028)
('P, I, D, (E), (T) --->', -7.6620337901368885, -16.354309777586437, 20.18554767903504, 93.57692307692308, 1551057578.308084)
('P, I, D, (E), (T) --->', -5.453878191020522, -13.63103307981374, 21.247951767157417, 93.73076923076923, 1551057578.344193)
('P, I, D, (E), (T) --->', -3.8322046131580123, -10.647721153064882, 22.171930693797208, 92.11538461538461, 1551057578.376276)
('P, I, D, (E), (T) --->', -2.3756010420912617, -7.699461618623703, 22.259142302683927, 91.88461538461539, 1551057578.409029)
('P, I, D, (E), (T) --->', 0.1897289760557328, -3.6600018332561186, 22.34890059610592, 89.88461538461539, 1551057578.445212)
('P, I, D, (E), (T) --->', 1.9931517682744584, 0.1631508516463991, 22.229256431066858, 89.34615384615384, 1551057578.475886)
('P, I, D, (E), (T) --->', 3.4381380037625036, 3.5197134295857033, 21.93158187787924, 89.23076923076923, 1551057578.507944)
