Active on port: 4001
init camera on /dev/video1
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.6539671
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.6873412
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.7209685
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.75581
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.784968
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.822316
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.853563
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.885575
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.920623
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.9524832
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.9842603
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.0207949
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.052966
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.086891
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.120765
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.153814
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.1855583
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.222381
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.2553694
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.2868474
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.3211179
P, I, D, (E), (T) ---> 0 0 0 0 1546296234.35509
