Active on port: 4000
init camera on /dev/video0
green
[55, 112, 107]
red
[10, 248, 153]
('P, I, D, (E), (T) --->', -4.795875145095408, -9.557796358533505, -6.579357665373323, 87.88461538461539, 1551058393.043338)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.991512056086071, -6.0337990335264635, 87.61538461538461, 1551058393.074945)
('P, I, D, (E), (T) --->', -4.793738581892171, -8.789494609935208, -6.579357665373323, 88.03846153846153, 1551058393.106113)
('P, I, D, (E), (T) --->', -3.353112231481134, -7.747859536448738, -5.95455251253037, 88.03846153846153, 1551058393.138737)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.155247319182846, -6.0337990335264635, 88.23076923076923, 1551058393.169086)
('P, I, D, (E), (T) --->', -4.931016782460574, -8.508640442051997, -6.579357665373323, 88.15384615384616, 1551058393.201454)
('P, I, D, (E), (T) --->', -4.793738581892171, -9.04805880291817, -6.579357665373323, 88.0, 1551058393.240924)
('P, I, D, (E), (T) --->', -3.282074237377799, -7.806103638836884, -5.95455251253037, 87.76923076923077, 1551058393.271092)
('P, I, D, (E), (T) --->', -4.862378618639923, -8.765430438058365, -6.579357665373323, 88.23076923076923, 1551058393.300781)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.5987095861332135, -6.0337990335264635, 87.92307692307692, 1551058393.337987)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.66172920666187, -6.579357665373323, 88.07692307692308, 1551058393.368812)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.546858970434966, -6.0337990335264635, 88.11538461538461, 1551058393.400842)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.635803898812744, -6.579357665373323, 87.92307692307692, 1551058393.438489)
('P, I, D, (E), (T) --->', -4.795875145095408, -9.113777094501781, -6.579357665373323, 87.84615384615384, 1551058393.46867)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.419262960846153, -6.579357665373323, 87.6923076923077, 1551058393.500245)
('P, I, D, (E), (T) --->', -4.932989275980162, -9.64262075640324, -6.579357665373323, 87.84615384615384, 1551058393.538193)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.685739329660041, -6.579357665373323, 87.8076923076923, 1551058393.569684)
('P, I, D, (E), (T) --->', -3.406620421971809, -8.24949008680183, -5.887337532089305, 89.11538461538461, 1551058393.600687)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.340739410504946, -6.0337990335264635, 87.88461538461539, 1551058393.637856)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.532744118847734, -6.579357665373323, 87.88461538461539, 1551058393.668694)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.478985936243186, -6.0337990335264635, 87.76923076923077, 1551058393.702096)
('P, I, D, (E), (T) --->', -4.931016782460574, -8.670509750582166, -6.579357665373323, 88.03846153846153, 1551058393.741591)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.199683826749505, -6.579357665373323, 87.88461538461539, 1551058393.772111)
('P, I, D, (E), (T) --->', -4.795875145095408, -9.395717058470161, -6.579357665373323, 87.88461538461539, 1551058393.80159)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.560232942830343, -6.579357665373323, 87.84615384615384, 1551058393.83966)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.99273034823449, -6.0337990335264635, 87.92307692307692, 1551058393.86944)
('P, I, D, (E), (T) --->', -4.932989275980162, -8.929354450097406, -6.579357665373323, 87.88461538461539, 1551058393.900571)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.74599477600718, -6.0337990335264635, 88.03846153846153, 1551058393.937688)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.735371801598852, -6.579357665373323, 88.07692307692308, 1551058393.969479)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.232114852257848, -6.579357665373323, 87.84615384615384, 1551058394.000615)
('P, I, D, (E), (T) --->', -4.793738581892171, -9.409796008021095, -6.579357665373323, 88.0, 1551058394.037534)
('P, I, D, (E), (T) --->', -4.932989275980162, -9.63788727999071, -6.579357665373323, 87.88461538461539, 1551058394.068627)
('P, I, D, (E), (T) --->', -4.793738581892171, -9.612682221887527, -6.579357665373323, 87.76923076923077, 1551058394.10066)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.737357893404337, -6.579357665373323, 88.0, 1551058394.143085)
('P, I, D, (E), (T) --->', -3.406620421971809, -8.275299368673977, -5.887337532089305, 88.96153846153847, 1551058394.179776)
('P, I, D, (E), (T) --->', -4.795875145095408, -8.933524829432397, -6.579357665373323, 87.96153846153847, 1551058394.213103)
('P, I, D, (E), (T) --->', -3.2846159740106486, -7.751378388726847, -6.0337990335264635, 87.96153846153847, 1551058394.249601)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.0916835614674545, -6.0337990335264635, 87.92307692307692, 1551058394.283889)
('P, I, D, (E), (T) --->', -3.215994367104031, -6.761836147837759, -6.0337990335264635, 88.03846153846153, 1551058394.317658)
('P, I, D, (E), (T) --->', -3.156559348352289, -6.537477422271168, -6.133095603350682, 87.96153846153847, 1551058394.349127)
('P, I, D, (E), (T) --->', -4.864428951458422, -8.133167662594005, -6.579357665373323, 87.88461538461539, 1551058394.385574)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.928958244892264, -6.579357665373323, 87.6923076923077, 1551058394.417032)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.677092999265451, -6.0337990335264635, 87.76923076923077, 1551058394.448974)
('P, I, D, (E), (T) --->', -4.999658082681435, -8.83820458231416, -6.42260412533426, 87.73076923076923, 1551058394.484939)
