Active on port: 4001
init camera on /dev/video1
green
[49, 140, 95]
red
[9, 255, 142]
('P, I, D, (E), (T) --->', -33.6178978556153, -67.05317042411343, 172.7594852796571, 85.61538461538461, 1551058204.118236)
('P, I, D, (E), (T) --->', -33.28007089689481, -66.80665610895153, 173.09002762035226, 84.8076923076923, 1551058204.153672)
('P, I, D, (E), (T) --->', -33.61204183261199, -67.01536988708776, 172.7176914564149, 85.65384615384616, 1551058204.187525)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.9354263875383, 172.68238907054757, 84.6923076923077, 1551058204.221248)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.12076827198763, 172.7176914564149, 86.15384615384616, 1551058204.253573)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.1966131858384, 172.7594852796571, 85.92307692307692, 1551058204.288598)
('P, I, D, (E), (T) --->', -33.234418184732164, -66.83272477765136, 173.04908065990304, 84.38461538461539, 1551058204.318523)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.06939900500203, 172.7176914564149, 85.84615384615384, 1551058204.353312)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.96241550599794, 172.68238907054757, 85.07692307692308, 1551058204.390772)
('P, I, D, (E), (T) --->', -33.62522189349818, -67.10642964649715, 172.7176914564149, 86.07692307692308, 1551058204.421894)
('P, I, D, (E), (T) --->', -33.645392462519965, -67.19860728576853, 172.7594852796571, 85.76923076923077, 1551058204.455019)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.23553269272885, 172.7594852796571, 85.84615384615384, 1551058204.486012)
('P, I, D, (E), (T) --->', -33.55651518595826, -67.17428153232268, 172.7176914564149, 85.57692307692308, 1551058204.520647)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.24019584437981, 172.7176914564149, 86.07692307692308, 1551058204.556342)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.25632697203449, 172.7594852796571, 86.07692307692308, 1551058204.585759)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.05590493001166, 172.68238907054757, 84.84615384615384, 1551058204.621572)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.16418151485041, 172.7594852796571, 85.84615384615384, 1551058204.656803)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.23514583564368, 172.7176914564149, 86.0, 1551058204.689328)
('P, I, D, (E), (T) --->', -33.584279015627686, -67.20185193344952, 172.7176914564149, 85.57692307692308, 1551058204.718734)
('P, I, D, (E), (T) --->', -33.65303046216076, -67.25395642888552, 172.7176914564149, 86.0, 1551058204.75364)
('P, I, D, (E), (T) --->', -33.34624296637361, -66.97322118081637, 173.04908065990304, 84.65384615384616, 1551058204.785884)
('P, I, D, (E), (T) --->', -33.321243282061886, -66.80785387247008, 173.04908065990304, 84.73076923076923, 1551058204.821515)
('P, I, D, (E), (T) --->', -33.58429744580934, -66.98822438204438, 172.7176914564149, 85.57692307692308, 1551058204.856165)
('P, I, D, (E), (T) --->', -33.29622573113576, -66.79033792215796, 173.04908065990304, 84.65384615384616, 1551058204.886811)
('P, I, D, (E), (T) --->', -33.58429744580934, -66.97946640688832, 172.7176914564149, 85.57692307692308, 1551058204.918266)
