Active on port: 4000
black
[90, 5, 47]
('P, I, D, (E), (T) --->', 13.8686527633667, 5.986299750993354, 20.51283506011963, 66.84545454545454, 1551026300.187979)
('P, I, D, (E), (T) --->', 23.705460365295412, 26.69861024079209, 9.836807601928712, 77.46363636363637, 1551026300.381175)
('P, I, D, (E), (T) --->', 25.026230964660645, 38.37553608505669, 1.3207705993652326, 79.28181818181818, 1551026300.571228)
('P, I, D, (E), (T) --->', 24.622409523010255, 43.810177565538595, -0.4038214416503898, 78.3, 1551026300.751369)
('P, I, D, (E), (T) --->', 24.493434013366702, 46.398522796136, -0.12897550964355275, 72.1, 1551026300.96128)
('P, I, D, (E), (T) --->', 27.306, 50.505261398068, 2.812565986633299, 68.35454545454546, 1551026301.191327)
('P, I, D, (E), (T) --->', 31.23147834777832, 56.48410904681232, 3.92547834777832, 59.36363636363637, 1551026301.389511)
('P, I, D, (E), (T) --->', 34.965, 63.207054523406164, 3.7335216522216825, 44.61818181818182, 1551026301.574736)
('P, I, D, (E), (T) --->', 41.292, 72.89552726170308, 6.326999999999998, 18.554545454545455, 1551026301.746079)
('P, I, D, (E), (T) --->', 46.620000000000005, 83.06776363085154, 5.328000000000003, 7.9363636363636365, 1551026302.010735)
('P, I, D, (E), (T) --->', 45.621, 87.15488181542577, -0.9990000000000023, 12.418181818181818, 1551026302.155164)
('P, I, D, (E), (T) --->', 42.624, 86.20144090771288, -2.997, 29.89090909090909, 1551026302.405578)
('P, I, D, (E), (T) --->', 30.1365, 73.23722045385644, -12.4875, 63.4, 1551026302.652325)
('P, I, D, (E), (T) --->', 11.655000000000001, 48.27361022692822, -18.4815, 58.445454545454545, 1551026302.952864)
('P, I, D, (E), (T) --->', -0.333, 23.80380511346411, -11.988000000000001, 58.41818181818182, 1551026303.110503)
('P, I, D, (E), (T) --->', -1.665, 10.236902556732055, -1.332, 60.36363636363637, 1551026303.269396)
('P, I, D, (E), (T) --->', 2.4975, 7.615951278366028, 4.1625, 60.08181818181818, 1551026303.515594)
('P, I, D, (E), (T) --->', 6.160500000000001, 9.968475639183016, 3.6630000000000007, 61.49090909090909, 1551026303.998614)
('P, I, D, (E), (T) --->', 7.492500000000001, 12.47673781959151, 1.3319999999999999, 60.63636363636363, 1551026304.280481)
('P, I, D, (E), (T) --->', 4.4955, 10.733868909795754, -2.9970000000000008, 60.345454545454544, 1551026304.523971)
('P, I, D, (E), (T) --->', 1.4985000000000002, 6.865434454897877, -2.997, 60.763636363636365, 1551026304.738755)
